current_collector,card_name,current_owner,CHANGE_owner_to,CHANGE_collector_to,current_front_art,CHANGE_front_art_to,current_back_art,CHANGE_back_art_to,art_upload_folder,current_rarity,CHANGE_rarity_to,current_front_title,CHANGE_front_title_to,current_back_title,CHANGE_back_title_to,card_kind,printing_uuid,notes
WLX-061,Harsh Mentor,Will,,,WLX-061.jpg,,,,imports/replacements/will/,special,,,,,,official,be0db812-1b44-5561-9922-7a9f224fb268,Imported from will/Harsh Mentor.jpg in file batch e88865535d
WLX-062,High Perfect Morcant,Will,,,WLX-062.jpg,,,,imports/replacements/will/,special,,,,,,official,06d29152-c0f5-5309-be2a-cae3fcf16349,Imported from will/High Perfect Morcant.jpg in file batch e88865535d
WLX-063,Hulking Raptor,Will,,,WLX-063.jpg,,,,imports/replacements/will/,special,,,,,,official,2fc761a1-39ea-5dcc-8d2b-73e6396a958c,Imported from will/Hulking Raptor.jpg in file batch e88865535d
WLX-064,Illuminor Szeras,Will,,,WLX-064.jpg,,,,imports/replacements/will/,special,,,,,,official,e456c526-5ad3-58ed-9fb0-92205006345c,Imported from will/Illuminor Szeras.jpg in file batch e88865535d
WLX-065,Incandescent Soulstoke,Will,,,WLX-065.jpg,,,,imports/replacements/will/,special,,,,,,official,fb081480-9bfe-5634-b844-c19ad837aab0,Imported from will/Incandescent Soulstoke.jpg in file batch e88865535d
WLX-066,Ingot Chewer,Will,,,WLX-066.jpg,,,,imports/replacements/will/,special,,,,,,official,4e95ce46-e64d-5f57-a02f-13bb86b7f466,Imported from will/Ingot Chewer.jpg in file batch e88865535d
WLX-067,"Kardur, Doomscourge",Will,,,WLX-067.jpg,,,,imports/replacements/will/,special,,,,,,official,4bbaf1b3-df61-5ff6-ac6d-15388e6277b2,"Imported from will/Kardur, Doomscourge.jpg in file batch e88865535d"
WLX-068,Kederekt Parasite,Will,,,WLX-068.jpg,,,,imports/replacements/will/,special,,,,,,official,9a591606-7ab0-58a5-8277-d5d2acd9d2b5,Imported from will/Kederekt Parasite.jpg in file batch e88865535d
WLX-069,Lae'zel's Acrobatics,Will,,,WLX-069.jpg,,,,imports/replacements/will/,special,,,,,,official,d1fa16b2-9aea-5e06-a12e-0e69d7ae8a03,Imported from will/Lae'zel's Acrobatics.jpg in file batch e88865535d
WLX-070,Lavaspur Boots,Will,,,WLX-070.jpg,,,,imports/replacements/will/,special,,,,,,official,7164d953-2749-5d27-afc9-efe188d87515,Imported from will/Lavaspur Boots.jpg in file batch e88865535d
WLX-071,Library of Leng,Will,,,WLX-071.jpg,,,,imports/replacements/will/,special,,,,,,official,d8f4bece-b2a4-52a3-9cee-fa3d4e6cc66c,Imported from will/Library of Leng.jpg in file batch e88865535d
WLX-072,Lurking Predators,Will,,,WLX-072.jpg,,,,imports/replacements/will/,special,,,,,,official,b4ac4c7c-c4cd-5c9e-af56-5084a856ffff,Imported from will/Lurking Predators.jpg in file batch e88865535d
WLX-073,Maelstrom Wanderer,Will,,,WLX-073.jpg,,,,imports/replacements/will/,special,,,,,,official,532b91f7-c827-52fd-acba-31fc045fa15d,Imported from will/Maelstrom Wanderer.jpg in file batch e88865535d
WLX-074,Manabarbs,Will,,,WLX-074.jpg,,,,imports/replacements/will/,special,,,,,,official,562feb31-35f9-5754-9605-17216e91af33,Imported from will/Manabarbs.jpg in file batch e88865535d
WLX-075,Mayhem Devil,Will,,,WLX-075.jpg,,,,imports/replacements/will/,special,,,,,,official,5e8057a1-46e7-578d-bffb-909ea8867986,Imported from will/Mayhem Devil.jpg in file batch e88865535d
WLX-076,Mind Stone,Will,,,WLX-076.jpg,,,,imports/replacements/will/,special,,,,,,official,3e63f6c6-5050-5ed3-b89d-ba8045858fc4,Imported from will/Mind Stone.jpg in file batch e88865535d
WLX-077,Molten Echoes,Will,,,WLX-077.jpg,,,,imports/replacements/will/,special,,,,,,official,e9c32b86-c386-5627-ad5b-9b5d5cd5b487,Imported from will/Molten Echoes.jpg in file batch e88865535d
WLX-078,Monstrous Vortex,Will,,,WLX-078.jpg,,,,imports/replacements/will/,special,,,,,,official,25fbfd94-6bbd-5a44-b45e-9d3033e2a2c3,Imported from will/Monstrous Vortex.jpg in file batch e88865535d
WLX-079,Nightshade Harvester,Will,,,WLX-079.jpg,,,,imports/replacements/will/,special,,,,,,official,764c3846-a2a8-530e-89ac-86d5fffa6759,Imported from will/Nightshade Harvester.jpg in file batch e88865535d
WLX-080,Oath of Lieges,Will,,,WLX-080.jpg,,,,imports/replacements/will/,special,,,,,,official,9bfb3042-209d-5e9b-a75e-92c3698eead4,Imported from will/Oath of Lieges.jpg in file batch e88865535d
WLX-081,"Omnath, Locus of Rage",Will,,,WLX-081.jpg,,,,imports/replacements/will/,special,,,,,,official,c099b5a8-a680-5561-ba9e-5f6e0772e4ba,"Imported from will/Omnath, Locus of Rage.jpg in file batch e88865535d"
WLX-082,"Omnath, Locus of the Roil",Will,,,WLX-082.jpg,,,,imports/replacements/will/,special,,,,,,official,0f59ac3d-d64b-5b02-8fb6-135bf7972988,"Imported from will/Omnath, Locus of the Roil.jpg in file batch e88865535d"
WLX-083,Otepec Huntmaster,Will,,,WLX-083.jpg,,,,imports/replacements/will/,special,,,,,,official,9dcc54d5-cc34-51c4-9a5e-195d36d93fd1,Imported from will/Otepec Huntmaster.jpg in file batch e88865535d
WLX-084,Overgrowth Elemental,Will,,,WLX-084.jpg,,,,imports/replacements/will/,special,,,,,,official,bccf757f-2eab-52a9-9557-992563804a18,Imported from will/Overgrowth Elemental.jpg in file batch e88865535d
WLX-085,Painful Quandary,Will,,,WLX-085.jpg,,,,imports/replacements/will/,special,,,,,,official,c3182a5b-9f67-5482-b479-b4a264147eb4,Imported from will/Painful Quandary.jpg in file batch e88865535d
WLX-086,"Pantlaza, Sun-Favored",Will,,,WLX-086.jpg,,,,imports/replacements/will/,special,,,,,,official,74c5e994-be9c-58f7-baff-c25feaaf6b7c,"Imported from will/Pantlaza, Sun-Favored.jpg in file batch e88865535d"
WLX-087,Persistent Constrictor,Will,,,WLX-087.jpg,,,,imports/replacements/will/,special,,,,,,official,cb93f0b3-0b8c-5483-bb99-cdddaecc7e7e,Imported from will/Persistent Constrictor.jpg in file batch e88865535d
WLX-089,Phyrexian Triniform,Will,,,WLX-089.jpg,,,,imports/replacements/will/,special,,,,,,official,5e5ab8a4-d9d7-5b8e-8e8d-63b7869f1034,Imported from will/Phyrexian Triniform.jpg in file batch e88865535d
WLX-090,"Plagon, Lord of the Beach",Will,,,WLX-090.jpg,,,,imports/replacements/will/,special,,,,,,official,7ff767ae-38de-5440-96b6-eb9c22a31fd3,"Imported from will/Plagon, Lord of the Beach.jpg in file batch e88865535d"
WLX-091,Pyre of Heroes,Will,,,WLX-091.jpg,,,,imports/replacements/will/,special,,,,,,official,97c1f95e-da60-5876-84e8-a8db9ee8d115,Imported from will/Pyre of Heroes.jpg in file batch e88865535d
WLX-093,Railway Brawler,Will,,,WLX-093.jpg,,,,imports/replacements/will/,special,,,,,,official,8e571301-ea33-57b8-957d-1a780fa47d1c,Imported from will/Railway Brawler.jpg in file batch e88865535d
WLX-094,Rakdos Charm,Will,,,WLX-094.jpg,,,,imports/replacements/will/,special,,,,,,official,ada2d526-a6f3-598f-ac5e-ff15395821a6,Imported from will/Rakdos Charm.jpg in file batch e88865535d
WLX-095,Rakdos Signet,Will,,,WLX-095.jpg,,,,imports/replacements/will/,special,,,,,,official,38f78c4d-2c8c-5e36-8895-3ca89c6b10a2,Imported from will/Rakdos Signet.jpg in file batch e88865535d
WLX-096,"Rakdos, Lord of Riots",Will,,,WLX-096.jpg,,,,imports/replacements/will/,special,,,,,,official,fa5a1535-e401-53d8-9f21-7f685735a812,"Imported from will/Rakdos, Lord of Riots.jpg in file batch e88865535d"
WLX-097,Rampant Growth,Will,,,WLX-097.jpg,,,,imports/replacements/will/,special,,,,,,official,cd8d5327-ab90-5216-afe4-ca692db95ba8,Imported from will/Rampant Growth.jpg in file batch e88865535d
WLX-099,Renewed Solidarity,Will,,,WLX-099.jpg,,,,imports/replacements/will/,special,,,,,,official,b97e2b01-4a5e-545e-96b1-56664e0e36b8,Imported from will/Renewed Solidarity.jpg in file batch e88865535d
WLX-100,Return of the Wildspeaker,Will,,,WLX-100.jpg,,,,imports/replacements/will/,special,,,,,,official,4ffa2def-d05a-5171-b061-b306966450ef,Imported from will/Return of the Wildspeaker.jpg in file batch e88865535d
WLX-101,"Rex, Cyber-Hound",Will,,,WLX-101.jpg,,,,imports/replacements/will/,special,,,,,,official,09555d08-199c-5909-96cf-757d56a1a894,"Imported from will/Rex, Cyber-Hound.jpg in file batch e88865535d"
WLX-102,Ripples of Undeath,Will,,,WLX-102.jpg,,,,imports/replacements/will/,special,,,,,,official,468fe768-3049-5f51-801c-6fb84a82e434,Imported from will/Ripples of Undeath.jpg in file batch e88865535d
WLX-103,Risen Reef,Will,,,WLX-103.jpg,,,,imports/replacements/will/,special,,,,,,official,971b12bc-b572-5820-8d02-0ccf03cc44d1,Imported from will/Risen Reef.jpg in file batch e88865535d
WLX-104,Roiling Vortex,Will,,,WLX-104.jpg,,,,imports/replacements/will/,special,,,,,,official,03b2cc1d-96b1-5d93-84b6-f59836af1bf5,Imported from will/Roiling Vortex.jpg in file batch e88865535d
WLX-105,Rotting Regisaur,Will,,,WLX-105.jpg,,,,imports/replacements/will/,special,,,,,,official,9adabe42-d42b-56ba-8145-8d54a30a25c9,Imported from will/Rotting Regisaur.jpg in file batch e88865535d
WLX-106,Rug of Smothering,Will,,,WLX-106.jpg,,,,imports/replacements/will/,special,,,,,,official,31082f7e-bb34-53d2-9470-715cdde2a9a0,Imported from will/Rug of Smothering.jpg in file batch e88865535d
WLX-107,Sawhorn Nemesis,Will,,,WLX-107.jpg,,,,imports/replacements/will/,special,,,,,,official,577ae408-e88c-5d9a-b2a7-4ca03f4f42de,Imported from will/Sawhorn Nemesis.jpg in file batch e88865535d
WLX-108,"Etali, Primal Conqueror // Etali, Primal Sickness",Will,,,WLX-108-front.jpg,,WLX-108-back.jpg,,imports/replacements/will/,special,,,,,,official_double_faced,5cc6c1fd-ad6b-5707-8135-5f3210657325,Imported paired face images in file batch e88865535d
WLX-109,Scion of Calamity,Will,,,WLX-109.jpg,,,,imports/replacements/will/,special,,,,,,official,831067cb-33c5-5457-8cd1-fe2f6cf1d11b,Imported from will/Scion of Calamity.jpg in file batch a7207394f9
WLX-110,"Selvala, Heart of the Wilds",Will,,,WLX-110.jpg,,,,imports/replacements/will/,special,,,,,,official,bcbd667e-bf58-5681-94cf-4de9415b5d9c,"Imported from will/Selvala, Heart of the Wilds.jpg in file batch a7207394f9"
WLX-111,Shadowgrange Archfiend,Will,,,WLX-111.jpg,,,,imports/replacements/will/,special,,,,,,official,72beb555-48b2-5e39-a173-4392df28a4eb,Imported from will/Shadowgrange Archfiend.jpg in file batch a7207394f9
WLX-112,Sign in Blood,Will,,,WLX-112.jpg,,,,imports/replacements/will/,special,,,,,,official,48932781-9315-560a-9bbb-4ddb4fc96b92,Imported from will/Sign in Blood.jpg in file batch a7207394f9
WLX-113,Skull Storm,Will,,,WLX-113.jpg,,,,imports/replacements/will/,special,,,,,,official,95e98a94-adb8-5870-ab38-baa7da540048,Imported from will/Skull Storm.jpg in file batch a7207394f9
WLX-114,Sneak Attack,Will,,,WLX-114.jpg,,,,imports/replacements/will/,special,,,,,,official,7da8f0ff-dc9f-5db4-96d0-d825d4c2007d,Imported from will/Sneak Attack.jpg in file batch a7207394f9
WLX-115,Soldevi Adnate,Will,,,WLX-115.jpg,,,,imports/replacements/will/,special,,,,,,official,6e0f22c8-0046-5944-8a94-64a790aba183,Imported from will/Soldevi Adnate.jpg in file batch a7207394f9
WLX-116,"Solphim, Mayhem Dominus",Will,,,WLX-116.jpg,,,,imports/replacements/will/,special,,,,,,official,088e3e7d-1a0b-5ca8-ac90-a59033f00021,"Imported from will/Solphim, Mayhem Dominus.jpg in file batch a7207394f9"
WLX-117,Songs of the Damned,Will,,,WLX-117.jpg,,,,imports/replacements/will/,special,,,,,,official,29250f84-615a-5e25-814f-301a67e3d0bf,Imported from will/Songs of the Damned.jpg in file batch a7207394f9
WLX-118,Spiteful Visions,Will,,,WLX-118.jpg,,,,imports/replacements/will/,special,,,,,,official,54588855-d49c-5382-b48f-f9490566d40b,Imported from will/Spiteful Visions.jpg in file batch a7207394f9
WLX-119,Star Athlete,Will,,,WLX-119.jpg,,,,imports/replacements/will/,special,,,,,,official,557a64d0-b5a3-56cc-aa65-e0a99f3fb01e,Imported from will/Star Athlete.jpg in file batch a7207394f9
WLX-120,Stormfist Crusader,Will,,,WLX-120.jpg,,,,imports/replacements/will/,special,,,,,,official,a39ba1b9-c840-5fcb-b949-ccb98bcccf0b,Imported from will/Stormfist Crusader.jpg in file batch a7207394f9
WLX-121,Sundial of the Infinite,Will,,,WLX-121.jpg,,,,imports/replacements/will/,special,,,,,,official,3a207b04-a6fd-588b-a74b-c92a907421fd,Imported from will/Sundial of the Infinite.jpg in file batch a7207394f9
WLX-122,Suspended Sentence,Will,,,WLX-122.jpg,,,,imports/replacements/will/,special,,,,,,official,7658cc5f-fd63-56bd-8596-5904d40d776b,Imported from will/Suspended Sentence.jpg in file batch a7207394f9
WLX-123,Talisman of Indulgence,Will,,,WLX-123.jpg,,,,imports/replacements/will/,special,,,,,,official,4ce74e2f-414e-5435-9534-5760e9c80db5,Imported from will/Talisman of Indulgence.jpg in file batch a7207394f9
WLX-124,Temple Altisaur,Will,,,WLX-124.jpg,,,,imports/replacements/will/,special,,,,,,official,396fe8d7-a4d4-578e-b179-8c3c9b18b0c7,Imported from will/Temple Altisaur.jpg in file batch a7207394f9
WLX-125,Teval's Judgment,Will,,,WLX-125.jpg,,,,imports/replacements/will/,special,,,,,,official,f8714545-a33d-5e9b-a783-e19aeebbb0cd,Imported from will/Teval's Judgment.jpg in file batch a7207394f9
WLX-126,The Great Henge,Will,,,WLX-126.jpg,,,,imports/replacements/will/,special,,,,,,official,3213f7f0-673a-5a65-9e07-9569a411ac89,Imported from will/The Great Henge.jpg in file batch a7207394f9
WLX-127,The Meathook Massacre,Will,,,WLX-127.jpg,,,,imports/replacements/will/,special,,,,,,official,cafd6ac2-33eb-549d-8089-80edf9371242,Imported from will/The Meathook Massacre.jpg in file batch a7207394f9
WLX-128,Thought Vessel,Will,,,WLX-128.jpg,,,,imports/replacements/will/,special,,,,,,official,7ca2838a-7cb1-5faa-9a06-033192490d18,Imported from will/Thought Vessel.jpg in file batch a7207394f9
WLX-129,Three Visits,Will,,,WLX-129.jpg,,,,imports/replacements/will/,special,,,,,,official,37ae3ec8-18e5-51ec-a987-01cba1fd34b6,Imported from will/Three Visits.jpg in file batch a7207394f9
WLX-130,Timeless Lotus,Will,,,WLX-130.jpg,,,,imports/replacements/will/,special,,,,,,official,3613bec9-545c-5f39-9d7d-b02f28ca388d,Imported from will/Timeless Lotus.jpg in file batch a7207394f9
WLX-131,"Torbran, Thane of Red Fell",Will,,,WLX-131.jpg,,,,imports/replacements/will/,special,,,,,,official,c82c6bf9-440d-5049-85df-bc6426693aeb,"Imported from will/Torbran, Thane of Red Fell.jpg in file batch a7207394f9"
WLX-132,Umbral Collar Zealot,Will,,,WLX-132.jpg,,,,imports/replacements/will/,special,,,,,,official,a735e69b-f9ae-5bd2-a773-ca21d4e78aa5,Imported from will/Umbral Collar Zealot.jpg in file batch a7207394f9
